Bundle,Classpath Size
org.eclipse.ui.examples.fieldassist_1.1.100.v20160330-1439,5200
org.eclipse.ui.examples.javaeditor_3.2.0.v20160503-1849,2713
org.eclipse.ui.examples.multipageeditor_3.2.300.v20151104-0051,4529
org.eclipse.ui.examples.propertysheet_3.2.400.v20160329-2017,4176
org.eclipse.ui.examples.readmetool_3.4.0.v20160329-2017,4566
org.eclipse.ui.examples.undo_3.2.301.v20160329-2017,1043
org.eclipse.ui.examples.views.properties.tabbed.article_3.2.1.v20160330-1438,1329
org.eclipse.ui.externaltools_3.3.100.v20160518-1858,4790
org.eclipse.ui.forms_3.7.1.v20161220-1635,3626
org.eclipse.ui.ide_3.12.3.v20170119-0935,8835
org.eclipse.ui.ide.application_1.1.101.v20160829-0827,7706
org.eclipse.ui.intro_3.5.2.v20161116-1147,6261
org.eclipse.ui.intro.quicklinks_1.0.0.v20160515-0255,5494
org.eclipse.ui.intro.universal_3.3.1.v20160829-1558,1372
org.eclipse.ui.monitoring_1.1.2.v20170203-1115,2699
org.eclipse.ui.navigator_3.6.101.v20161006-1120,1336
org.eclipse.ui.navigator.resources_3.5.101.v20161006-0640,6493
org.eclipse.ui.net_1.3.0.v20160426-1633,1062
org.eclipse.ui.themes_1.1.300.v20161107-1827,0
org.eclipse.ui.trace_1.0.400.v20160509-1055,1042
org.eclipse.ui.views_3.8.102.v20170111-0801,5417
org.eclipse.ui.views.log_1.2.1.v20160829-0826,3142
org.eclipse.ui.views.properties.tabbed_3.7.0.v20160310-0903,1797
org.eclipse.ui.workbench_3.108.3.v20170216-1539,8551
org.eclipse.ui.workbench.texteditor_3.10.1.v20160818-1626,2758
org.eclipse.update.core_3.2.800.v20160413-0713,1383
org.hamcrest_1.1.0.v20090501071000,72
org.hamcrest.core_1.3.0.v201303031735,45
org.hamcrest.integration_1.1.0.v201303031500,64
org.hamcrest.library_1.1.0.v20090501071000,68
org.hamcrest.text_1.1.0.v20090501071000,96
org.junit_4.12.0.v201504281640,331
org.mockito_1.8.4.v201303031500,896
org.objectweb.asm_5.0.1.v201404251740,25
org.objectweb.asm.tree_5.0.1.v201404251740,52
org.objenesis_1.0.0.v201505121915,28
org.sat4j.core_2.3.5.v201308161310,246
org.sat4j.pb_2.3.5.v201404071733,387
org.slf4j.api_1.7.2.v20121108-1250,23
org.tukaani.xz_1.3.0.v201308270617,102
org.w3c.css.sac_1.3.1.v200903091627,29
org.w3c.dom.events_3.0.0.draft20060413_v201105210656,12
org.w3c.dom.smil_1.0.1.v200903091627,14
org.w3c.dom.svg_1.1.0.v201011041433,161
